Month,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2016-10,IEX (V),1488528354,299968815,629250219,2417747388,57386712352.85181,15006903336.8233,29196126291.89089,101589741981.566,8641547,1211874,3887003,13740424
2016-10,NASDAQ (DQ),23409702569,9317985426,12713926307,45441614302,750269498141.8699,411860303547.235,440741667062.70996,1602871468751.8147,72540521,18334934,37555958,128431413
2016-10,NASDAQ (Q),7099353769,2224903855,8388057354,17712314978,288213639138.3335,127501363534.79448,384205718989.9829,799920721663.1107,58806937,9798234,52403295,121008466
2016-10,NASDAQ BX (B),1934786471,632337111,953480100,3520603682,71362566123.87946,27808048461.08479,39194340239.2959,138364954824.26013,18469941,2901081,9323965,30694987
2016-10,NASDAQ PSX (X),481542426,372135060,415586360,1269263846,15171435262.932997,20581561539.187103,15364799508.4632,51117796310.583305,3502502,1556600,2828740,7887842
2016-10,NSX (C),8292978,4505195,4437247,17235420,300970910.51229995,444729353.97720003,172811629.92109996,918511894.4105998,54045,17699,28578,100322
2016-10,NYSE (DN),1988857826,805541247,1202584026,3996983099,64217851886.86598,34240952180.441616,46558711047.892624,145017515115.2002,5218580,1707983,3104332,10030895
2016-10,NYSE (N),17834070720,0,0,17834070720,642112980512.4261,0.0,0.0,642112980512.4261,56744649,0,0,56744649
2016-10,NYSE Arca (P),4838403135,5922918966,2822035547,13583357648,187943703154.218,315231627092.5952,130331065336.94293,633506395583.7562,35482438,16844584,19968108,72295130
2016-10,NYSE MKT (A),0,208324688,29033454,237358142,0.0,1393760045.9384,696488514.9389999,2090248560.8774002,0,549020,110956,659976
2016-11,BATS BYX (Y),4015894958,1762547523,1718245041,7496687522,112134105721.62376,69704516675.43182,56412135912.445206,238250758309.5008,34071604,8025939,15987923,58085466
2016-11,BATS BZX (Z),5326397568,2643349682,2533331092,10503078342,180974310814.31628,143791433368.91003,106276600986.26067,431042345169.4869,43146415,11907861,21119220,76173496
2016-11,CHX (M),179686978,417924357,123818770,721430105,8453517887.151401,38693388230.63041,10022717661.684599,57169623779.4664,71775,178402,38983,289160
2016-11,EDGA (J),2081418061,1054155564,956835388,4092409013,63539013736.15106,47421365588.29227,35338307175.40341,146298686499.84677,17528075,5012081,8077791,30617947
2016-11,EDGX (K),5192672139,2836420357,3848291778,11877384274,180322818982.0288,139497972444.76404,145923213341.36536,465744004768.15826,36201224,11488070,25363400,73052694
2016-11,IEX (V),1738972236,420763977,756653996,2916390209,65488248460.42112,20530984222.730892,35210818650.25629,121230051333.4083,10177994,1683826,4738117,16599937
2016-11,NASDAQ (DQ),27936426418,12943932646,14991798936,55872158000,905012205778.0513,583853747633.4419,543602985411.53,2032468938823.0234,86926358,24182322,45342219,156450899
2016-11,NASDAQ (Q),9262334766,3169563954,10434823726,22866722446,372802303300.4809,179663093007.29004,485790922837.50775,1038256319145.279,79104103,13768355,68028587,160901045
2016-11,NASDAQ BX (B),2341285630,849150099,1236963511,4427399240,85335602780.69286,37055203358.47629,48178060164.46788,170568866303.63705,22357603,3988047,12174767,38520417
2016-11,NASDAQ PSX (X),621298679,523159255,482513887,1626971821,20339447357.249294,27886241480.4154,19433398984.332203,67659087821.9969,4611003,2343770,3461863,10416636
2016-11,NSX (C),12069891,9839697,6260850,28170438,482013954.097,1000235347.4715002,305720382.1087,1787969683.6772003,74261,35616,40689,150566
2016-11,NYSE (DN),2611720789,1103498555,1462212566,5177431910,87448747896.57019,43332537392.20282,61284856238.16871,192066141526.9417,6659172,2258639,3869556,12787367
2016-11,NYSE (N),21146355304,0,0,21146355304,770129860316.2131,0.0,0.0,770129860316.2131,69683766,0,0,69683766
2016-11,NYSE Arca (P),5978947292,7904183531,3398615255,17281746078,230871654510.91254,405511560017.8319,158135748529.24567,794518963057.9902,43935348,22383319,24948631,91267298
2016-11,NYSE MKT (A),0,261593135,0,261593135,0.0,1583746920.5426004,0.0,1583746920.5426004,0,611952,0,611952
